Year,Climate_Model,Discount_Rate,Difference,DifferenceToDate_Absolute,DifferenceToDate
2022,PCM,5,514943.33,1763525.18,1.76352518
2023,PCM,5,494235.88,2257761.06,2.25776106
2024,PCM,5,453443.12,2711204.18,2.71120418
2025,PCM,5,438185.96,3149390.14,3.14939014
2026,PCM,5,417548.15,3566938.29,3.56693829
2027,PCM,5,431080.76,3998019.05,3.99801905
2028,PCM,5,470058.83,4468077.88,4.46807788
2029,PCM,5,553489.26,5021567.15,5.02156715
2030,PCM,5,512057.91,5533625.06,5.53362506
2031,PCM,5,496536.73,6030161.79,6.03016179
2032,PCM,5,473139.34,6503301.13,6.50330113
2033,PCM,5,455562.04,6958863.17,6.95886317
2034,PCM,5,433773.55,7392636.72,7.39263672
2035,PCM,5,416049.66,7808686.37,7.80868637
2036,PCM,5,391473.25,8200159.62,8.20015962
2037,PCM,5,382567.15,8582726.77,8.58272677
2038,PCM,5,402978.1,8985704.87,8.98570487
2039,PCM,5,450553.16,9436258.03,9.43625803
2040,PCM,5,432136.89,9868394.92,9.86839492
2041,PCM,5,411836.26,10280231.18,10.28023118
2042,PCM,5,399535.39,10679766.57,10.67976657
2043,PCM,5,387389.69,11067156.26,11.06715626
2044,PCM,5,375595.56,11442751.82,11.44275182
2045,PCM,5,355354.33,11798106.15,11.79810615
2046,PCM,5,352080.52,12150186.67,12.15018667
2047,PCM,5,333747.68,12483934.36,12.48393436
2048,PCM,5,334806.81,12818741.16,12.81874116
2049,PCM,5,360723.13,13179464.29,13.17946429
2050,PCM,5,345557.59,13525021.88,13.52502188
