standras_t,X,Y,SDI260_FL18,SDI260_FL19,SDI260_FL20,SDI260_FL21,SDI260_FL22,SDI260_FL23,SDI260_FL24,SDI260_FL25,SDI260_FL26,SDI260_FL27,SDI260_FL28,SDI260_FL29,SDI260_FL30,SDI260_FL31,SDI260_FL32,SDI260_FL33,SDI260_FL34,SDI260_FL35,SDI260_FL36,SDI260_FL37,SDI260_FL38,SDI260_FL39,SDI260_FL40,SDI260_FL41,SDI260_FL42,SDI260_FL43,SDI260_FL44,SDI260_FL45,SDI260_FL46,SDI260_FL47,SDI260_FL48,SDI260_FL49,SDI260_FL50,Pri_FL18,Pri_FL19,Pri_FL20,Pri_FL21,Pri_FL22,Pri_FL23,Pri_FL24,Pri_FL25,Pri_FL26,Pri_FL27,Pri_FL28,Pri_FL29,Pri_FL30,Pri_FL31,Pri_FL32,Pri_FL33,Pri_FL34,Pri_FL35,Pri_FL36,Pri_FL37,Pri_FL38,Pri_FL39,Pri_FL40,Pri_FL41,Pri_FL42,Pri_FL43,Pri_FL44,Pri_FL45,Pri_FL46,Pri_FL47,Pri_FL48,Pri_FL49,Pri_FL50,Average_SDI260,Average_Pri
117,69639.52722220000,-109761.00000000000,4.31428623199,4.63636398315,4.03030395508,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.85714197159,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.50000000000,2.79999995232,3.00000000000,2.81818199158,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.79999995232,3.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.11630594369,2.90661157261
49,67839.52722220000,-102321.00000000000,3.00000000000,1.33333396912,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.50000000000,3.00000000000,3.13333392143,3.00000000000,3.00000000000,2.50000000000,2.55555605888,2.77777814865,2.57142782211,2.89473605156,1.00000000000,3.00000000000,3.00000000000,2.77777814865,2.57142782211,2.79999995232,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,2.50000000000,1.66666591167,2.16666603088,4.09090995789,2.00000000000,2.23077011108,2.20000004768,2.75000000000,2.27272796631,2.50000000000,2.00000000000,2.42857217789,2.23077011108,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.52941203117,2.34592036045,2.35049982866
27,68559.52722220000,-96021.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.96969696970,2.15151515152
22,70449.52722220000,-99771.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.95454597473,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.77777814865,3.00000000000,4.57894802094,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.29999971390,4.62500000000,4.44444370270,4.64705801010,3.93333387375,4.29411792755,4.33333396912,4.29411792755,4.40000009537,4.73913002014,4.47826004028,4.46666622162,4.66666603088,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.10034158013,3.56430689494
72,69369.52722220000,-100221.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.93750000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.77777814865,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.54356060606,2.02356903481
53,62829.52722220000,-103041.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.81818199158,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,2.99449036338
118,71199.52722220000,-109431.00000000000,3.00000000000,4.99999475479,3.00000000000,4.57142972946,5.18181800842,5.18181800842,3.30769181252,3.26666593552,3.25000000000,3.26666593552,3.23529386520,3.19999980927,3.30769181252,3.15384578705,3.50000000000,3.00000000000,3.19999980927,3.44444394112,3.88888788223,3.66666579247,3.36363601685,3.66666579247,3.75000000000,3.80000019073,3.85714197159,4.09090995789,3.44444394112,3.88888788223,3.66666579247,4.59999990463,3.59999990463,4.00000000000,3.00000000000,3.00000000000,2.83333396912,3.00000000000,3.00000000000,2.71428585052,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.67731103753,2.98629150969
22,70569.52722220000,-99921.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.88888788223,4.16666603088,4.20000028610,3.57142806053,3.57142806053,3.72727179527,3.54545402527,3.57142806053,3.80000019073,3.66666579247,3.75000000000,3.85714197159,3.93333387375,3.66666579247,3.88888788223,3.66666579247,3.00000000000,3.50000000000,3.00000000000,3.75000000000,4.12500000000,4.22580623627,6.05882406235,3.00000000000,6.19230842590,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.58823585510,3.87500000000,4.00000000000,3.94117593765,3.71428608894,4.80952405930,4.84615421295,5.14285612106,5.14285802841,5.00000000000,4.76471042633,4.50000000000,4.52941226959,4.77777814865,5.81818199158,5.58333396912,5.42857217789,5.00000000000,1.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.67648073399,3.86248725111
33,70389.52722220000,-97551.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,3.00000000000,2.93333387375,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.00000000000,1.96767678405
21,70119.52722220000,-95691.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.74193096161,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,4.39130401611,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,5.06451654434,5.29629611969,5.26086997986,5.50000000000,5.73684167862,5.52631568909,7.00000000000,5.95238018036,5.63157796860,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.00000000000,3.09494651448,3.72632721699
