MarxanID,NT_HVRA_Loss,Treated_HVRA_Loss
1010,0.1,0.2
1011,0.1,0.2
1016,0.2,0.2
1017,0.9,0.9
1021,0.4,0.4
1042,0.2,0.2
1081,0.2,0.2
1091,0.2,0.2
1092,0.2,0.2
1093,0.2,0.2
1094,0.2,0.2
1095,0.2,0.2
1096,0.2,0.2
1260,0.2,0.2
1266,0.2,0.2
1278,0.1,0.1
1315,0.4,0.2
1316,0.4,0.2
1317,0.1,0.1
1318,0.2,0.2
1319,0.2,0.2
1320,0.4,0.2
1321,0.4,0.2
1324,0.4,0.2
1325,0.4,0.2
1331,0.4,0.2
1332,0.2,0.2
1334,0.2,0.2
1342,0.2,0.2
1352,0.2,0.2
1354,0.2,0.2
1355,0.2,0.2
1356,0.2,0.2
1357,0.9,0.2
1358,0.2,0.2
1360,0.2,0.2
1362,0.2,0.2
1363,0.4,0.2
1364,0.2,0.2
1365,0.1,0.2
1366,0.4,0.4
1367,0.4,0.2
1368,0.1,0.2
1369,0.4,0.2
1370,0.4,0.4
1372,0.1,0.2
1377,0.2,0.2
1378,0.2,0.2
1379,0.2,0.2
1380,0.2,0.2
1383,0.2,0.2
1384,0.2,0.2
1385,0.2,0.2
1386,0.2,0.2
1387,0.2,0.2
1388,0.2,0.2
1390,0.1,0.2
1391,0.2,0.2
1392,0.2,0.2
1393,0.4,0.4
1396,0.4,0.4
1397,0.1,0.2
1401,0.4,0.2
1402,0.2,0.2
1408,0.2,0.2
1410,0.2,0.2
1411,0.2,0.2
1413,0.1,0.2
1415,0.2,0.4
1416,0.2,0.4
1418,0.2,0.2
1419,0.2,0.2
1420,0.4,0.4
1434,0.4,0.2
1441,0.2,0.2
1445,0.2,0.2
1446,0.4,0.2
1447,0.4,0.2
1448,0.2,0.2
1458,0.2,0.2
1461,0.2,0.2
1463,0.2,0.4
1486,0.4,0.2
1488,0.2,0.2
1496,0.2,0.2
1497,0.4,0.2
1500,0.4,0.2
1501,0.2,0.2
1510,0.4,0.2
1512,0.2,0.2
1515,0.2,0.2
1522,0.2,0.2
1524,0.2,0.2
1526,0.2,0.2
1527,0.2,0.2
1532,0.1,0.2
1541,0.2,0.2
1542,0.2,0.2
1546,0.2,0.2
1554,0.4,0.2
1555,0.2,0.2
1556,0.2,0.2
1558,0.2,0.2
1561,0.1,0.2
1583,0.2,0.2
1584,0.2,0.2
1588,0.4,0.2
1000,0.2,0.2
1001,0.1,0.2
1002,0.2,0.2
1003,0.6,0.2
1004,0.4,0.2
1005,0.4,0.2
1006,0.4,0.2
1007,0.4,0.2
1008,0.2,0.2
1009,0,0
1012,0,0
1013,0.1,0.1
1014,0.1,0.1
1015,0.2,0.2
1018,0.4,0.4
1019,0.2,0.2
1020,0.9,0.6
1022,0.1,0.1
1023,0.4,0.4
1024,0.6,0.4
1025,0.6,0.4
1026,0.4,0.4
1027,0.4,0.4
1028,0.2,0.2
1029,0.2,0.2
1030,0.2,0.2
1031,0.2,0.2
1032,0.2,0.2
1033,0.2,0.2
1034,0.2,0.2
1035,0.2,0.2
1036,0.2,0.2
1037,0.2,0.2
1038,0.6,0.4
1039,0.6,0.4
1040,0.4,0.4
1041,0.2,0.2
