MarxanID,IgnitionGA25,IgnitionPA25
1010,0.126677087,0.134087856
1011,0.129232896,0.13651065
1016,0.187740714,0.209373335
1017,0.242019295,0.231329767
1021,0.246018637,0.233280923
1042,0.188306286,0.193945555
1081,0.228655295,0.238734602
1091,0.162512111,0.172520898
1092,0.256393068,0.264662107
1093,0.21135853,0.221980919
1094,0.189912457,0.199979954
1095,0.172544839,0.182304331
1096,0.158281401,0.168483586
1260,0.217134547,0.227801573
1266,0.258606222,0.240895568
1278,0.194111849,0.214761682
1315,0.262073342,0.246084738
1316,0.243065065,0.231329444
1317,0.212997927,0.229766448
1318,0.124485625,0.135563351
1319,0.12153454,0.132158068
1320,0.122224855,0.132648715
1321,0.11890767,0.129062488
1324,0.239098635,0.228561009
1325,0.252376061,0.238964048
1331,0.151293874,0.149706407
1332,0.152800943,0.147223362
1334,0.122098929,0.133152141
1342,0.127149884,0.136870335
1352,0.150828374,0.147567039
1354,0.171240853,0.183956265
1355,0.208270148,0.221599496
1356,0.160073977,0.171542239
1357,0.204210914,0.198033787
1358,0.204174345,0.212298799
1360,0.165675539,0.163118341
1362,0.129607601,0.13820503
1363,0.144987043,0.156156858
1364,0.123716539,0.132490275
1365,0.135697589,0.145074971
1366,0.128629662,0.137446148
1367,0.123871938,0.13212577
1368,0.124960806,0.132766977
1369,0.140562973,0.15036265
1370,0.127338182,0.134318222
1372,0.130711846,0.13803673
1377,0.267025409,0.281208443
1378,0.247679886,0.261756143
1379,0.230265384,0.243790154
1380,0.158969624,0.16690928
1383,0.130051008,0.136120632
1384,0.208887317,0.213803958
1385,0.19057897,0.195655001
1386,0.226571145,0.23229658
1387,0.17170009,0.176610407
1388,0.157652108,0.162387145
1390,0.127219964,0.134161082
1391,0.136233215,0.144680401
1392,0.123228769,0.134780788
1393,0.11729889,0.128484809
1396,0.132486035,0.13993191
1397,0.128202832,0.134669083
1401,0.187426677,0.208949552
1402,0.16796673,0.17897126
1408,0.250183993,0.26112693
1410,0.233659262,0.244464252
1411,0.160398881,0.169380283
1413,0.188855665,0.215077331
1415,0.244947901,0.228840798
1416,0.25467701,0.237406528
1418,0.118159651,0.129029553
1419,0.12243837,0.133855405
1420,0.117718999,0.128407081
1434,0.207499737,0.215122316
1441,0.163064539,0.160207889
1445,0.141760866,0.154392617
1446,0.12599869,0.138341324
1447,0.117911469,0.129429338
1448,0.11758753,0.129035178
1458,0.18072414,0.200704085
1461,0.122471494,0.134368517
1463,0.272166104,0.254885999
1486,0.156519808,0.154993223
1488,0.177985009,0.174768146
1496,0.193218844,0.217001929
1497,0.19502871,0.193488074
1500,0.156470845,0.153483788
1501,0.167635614,0.155520166
1510,0.151038144,0.141324846
1512,0.200187832,0.210657969
1515,0.21263409,0.21207544
1522,0.184841576,0.18872821
1524,0.187130617,0.189528297
1526,0.176272754,0.162249461
1527,0.123264811,0.135519884
1532,0.15575852,0.162542866
1541,0.230524736,0.233277401
1542,0.180202616,0.178954719
1546,0.154211747,0.153550491
1554,0.247871169,0.235536998
1555,0.123384875,0.133210727
1556,0.162001485,0.166553882
1558,0.238074341,0.224730393
1561,0.242122137,0.248888838
1583,0.196484007,0.187488796
1584,0.180595944,0.190115239
1588,0.121192306,0.133023519
1000,0.218933877,0.214184876
1001,0.151758468,0.158077992
1002,0.177612309,0.16874626
1003,0.16932638,0.15767493
1004,0.146005772,0.133713379
1005,0.167320108,0.179567601
1006,0.160331381,0.168353957
1007,0.176205192,0.183941436
1008,0.095673385,0.086991405
1009,0.096519711,0.08781024
1012,0.149338193,0.131195127
1013,0.142408452,0.126134434
1014,0.142408452,0.126134434
1015,0.1446922,0.127090556
1018,0.174905856,0.157327726
1019,0.097366042,0.08862909
1020,0.223720049,0.205609227
1022,0.142408452,0.126134434
1023,0.179355884,0.162261216
1024,0.12080848,0.11336349
1025,0.106252457,0.09722692
1026,0.00922839,0.009060528
1027,0.034732783,0.03458438
1028,0.053379947,0.051843714
1029,1.18724E-09,1.18724E-09
1030,1.18724E-09,1.18724E-09
1031,1.18724E-09,1.18724E-09
1032,1.18724E-09,1.18724E-09
1033,1.18724E-09,1.18724E-09
1034,1.18724E-09,1.18724E-09
1035,1.18724E-09,1.18724E-09
1036,1.18724E-09,1.18724E-09
1037,1.18724E-09,1.18724E-09
1038,0.12080848,0.11336349
1039,0.12080848,0.11336349
1040,0.143188079,0.136158925
1041,0.142870623,0.133967852
1043,0.107521943,0.098455175
1044,0.108368271,0.099274025
1045,0.109214594,0.100092868
1046,0.104083871,0.097638949
1047,0.028760558,0.027134904
1048,0.126677041,0.119825338
1049,0.122375009,0.115420934
1050,0.118072982,0.111016542
1051,0,0
1052,0,0
1053,0,0
1054,0,0
1055,0,0
1056,0,0
1057,0.148142718,0.141715658
1058,0.12080848,0.11336349
1059,0.178534831,0.161235189
1060,0.18588084,0.169409099
1061,0.190161066,0.173352547
1062,0.191370348,0.174020171
1063,0.110060922,0.100911703
1064,0.100751338,0.091904456
1066,0.098212362,0.089447933
1068,1.18724E-09,1.18724E-09
1072,0.18588084,0.169409099
1073,0.189231807,0.172285942
1074,0.110907249,0.10173054
1075,0.111753571,0.102549385
1076,0.111753571,0.102549385
1077,1.18724E-09,1.18724E-09
1078,1.18724E-09,1.18724E-09
1079,0.101597668,0.092723293
1080,0.102443989,0.093542137
1082,0.231771681,0.211266694
1083,0.231771681,0.211266694
1084,0.102443989,0.093542137
1085,0.102443989,0.093542137
1086,0.102443989,0.093542137
1088,1.18724E-09,1.18724E-09
1089,1.18724E-09,1.18724E-09
1090,0.207643611,0.188902117
1097,1.18724E-09,1.18724E-09
1098,1.18724E-09,1.18724E-09
1099,1.18724E-09,1.18724E-09
1100,1.18724E-09,1.18724E-09
1101,1.18724E-09,1.18724E-09
1102,1.18724E-09,1.18724E-09
1103,1.18724E-09,1.18724E-09
1104,1.18724E-09,1.18724E-09
1105,1.18724E-09,1.18724E-09
1106,1.18724E-09,1.18724E-09
1107,1.18724E-09,1.18724E-09
1108,1.18724E-09,1.18724E-09
1109,1.18724E-09,1.18724E-09
1110,1.18724E-09,1.18724E-09
1111,1.18724E-09,1.18724E-09
1112,1.18724E-09,1.18724E-09
1113,1.18724E-09,1.18724E-09
1114,1.18724E-09,1.18724E-09
1115,1.18724E-09,1.18724E-09
1116,1.18724E-09,1.18724E-09
1117,1.18724E-09,1.18724E-09
1119,1.18724E-09,1.18724E-09
1120,1.18724E-09,1.18724E-09
1121,1.18724E-09,1.18724E-09
1122,1.18724E-09,1.18724E-09
1123,1.18724E-09,1.18724E-09
1124,1.18724E-09,1.18724E-09
1125,1.18724E-09,1.18724E-09
1126,1.18724E-09,1.18724E-09
1127,1.18724E-09,1.18724E-09
1128,1.18724E-09,1.18724E-09
1129,1.18724E-09,1.18724E-09
1130,1.18724E-09,1.18724E-09
1131,1.18724E-09,1.18724E-09
1132,1.18724E-09,1.18724E-09
1133,1.18724E-09,1.18724E-09
1134,1.18724E-09,1.18724E-09
1135,1.18724E-09,1.18724E-09
1136,1.18724E-09,1.18724E-09
1137,1.18724E-09,1.18724E-09
1138,1.18724E-09,1.18724E-09
1139,1.18724E-09,1.18724E-09
1140,1.18724E-09,1.18724E-09
1141,1.18724E-09,1.18724E-09
1142,1.18724E-09,1.18724E-09
1143,1.18724E-09,1.18724E-09
1144,1.18724E-09,1.18724E-09
1145,1.18724E-09,1.18724E-09
1147,0.093092729,0.084571989
1148,0.099058689,0.090266772
1149,0.094827062,0.086172568
1150,0.192935825,0.175708567
1151,0.191699877,0.174996065
1152,0.099905011,0.091085607
1153,0.093092729,0.084571989
1154,0.093092729,0.084571989
1155,0.090682327,0.084595618
1156,0.002878736,0.002661822
1157,0.093092729,0.084571989
1158,1.18724E-09,1.18724E-09
1159,1.18724E-09,1.18724E-09
1160,1.18724E-09,1.18724E-09
1161,1.18724E-09,1.18724E-09
